NAME,Symbol,Market Value (millions)
SYMANTEC CORPORATION,SYMC,"$19,877.50"
BROADCOM CORPORATION,BRCM,"$19,873.20"
"ALLIED IRISH BANKS, P.L.C.",AIB,"$19,601.50"
BANCO BRADESCO SA,BBD,"$19,568.20"
"MARVELL TECHNOLOGY GROUP, LTD.",MRVL,"$19,450.00"
SEARS HOLDINGS CORPORATION,SHLD,"$19,438.10"
THE DIRECTV GROUP INC,DTV,"$19,236.20"
TENARIS S.A.,TS,"$19,177.90"
ACCENTURE LTD.,ACN,"$19,174.70"
ALCATEL,ALA,"$19,137.10"
"MCGRAW-HILL COMPANIES, INC. (THE)",MHP,"$19,134.90"
CHARLES SCHWAB CORPORATION (THE),SCHW,"$19,071.10"
SCOTTISH POWER PLS,SPI,"$19,060.00"
SYSCO CORPORATION,SYY,"$19,030.80"
PNC BANK CORP.,PNC,"$19,004.00"
SWISSCOM AG,SCM,"$18,893.70"
CHUBB CORPORATION (THE),CB,"$18,860.60"
"ADVANCED MICRO DEVICES, INC.",AMD,"$18,794.20"
MOODY'S CORPORATION,MCO,"$18,704.70"
"SIMON PROPERTY GROUP, INC.",SPG,"$18,608.30"
"AMAZON.COM, INC.",AMZN,"$18,576.70"
LAFARGE S.A.,LR,"$18,499.50"
CBS CORPORATION,CBS,"$18,473.10"
COMPANHIA VALE DO RIO DOCE,RIO^,"$18,450.00"
TELSTRA CORPORATION LIMITED,TLS,"$18,399.00"
LOEWS CORPORATION,LTR,"$18,331.40"
GENZYME GENERAL,GENZ,"$18,318.60"
RAYTHEON COMPANY,RTN,"$18,302.20"
TELENOR ASA,TELN,"$18,202.60"
LAS VEGAS SANDS CORP.,LVS,"$18,186.20"
"FEDERATED DEPARTMENT STORES, INC.",FD,"$18,137.80"
"ALCAN, INC.",AL,"$18,086.00"
"ST. JUDE MEDICAL, INC.",STJ,"$18,007.70"
CHUNGHWA TELECOM CO LTD,CHT,"$17,964.10"
BOSTON SCIENTIFIC CORPORATION,BSX,"$17,941.10"
"FUJI PHOTO FILM CO., LTD.",FUJIY,"$17,842.10"
XTO ENERGY INC.,XTO,"$17,825.70"
KELLOGG COMPANY,K,"$17,770.70"
ACE LIMITED,ACE,"$17,647.50"
"WASTE MANAGEMENT, INC.",WMI,"$17,427.00"
"STAPLES, INC.",SPLS,"$17,341.30"
"GENERAL MILLS, INC.",GIS,"$17,314.00"
